index,cluster_id,span_days,iqr_days,log_mean_gap_seconds,rejected
0,3,340.0,3.0,13.206704525838079,False
1,4,43.0,1.25,12.93071849314949,False
2,5,6.0,0.0,12.059890135352092,False
3,13,68.0,2.0,12.328154121946772,False
4,15,228.0,2.0,13.299581022280108,False
5,22,68.0,67.0,14.893103479408309,False
6,35,68.0,67.0,14.893103479408309,False
7,43,68.0,67.0,14.893103479408309,False
8,47,68.0,67.0,14.893103479408309,False
9,53,336.0,4.0,12.753037315912037,False
10,56,68.0,67.0,14.893103479408309,False
11,69,1.0,0.0,11.366742954792146,False
12,70,219.0,139.0,13.983225962368866,False
13,83,332.0,70.0,13.280057625598008,False
14,86,68.0,67.0,14.893103479408309,False
15,95,68.0,67.0,14.893103479408309,False
16,97,1.0,0.0,11.366742954792146,False
17,101,20.0,5.0,12.416565079290825,False
18,108,68.0,67.0,14.893103479408309,False
19,109,68.0,67.0,14.893103479408309,False
20,115,68.0,67.0,14.893103479408309,False
21,123,68.0,67.0,14.893103479408309,False
22,126,68.0,67.0,14.893103479408309,False
23,127,220.0,1.0,14.195421143682973,False
24,130,68.0,67.0,14.893103479408309,False
25,133,68.0,67.0,14.893103479408309,False
26,135,68.0,68.0,14.893103479408309,False
27,137,68.0,67.0,14.893103479408309,False
28,141,220.0,123.0,13.502273963123027,False
29,156,68.0,67.0,14.893103479408309,False
30,157,68.0,68.0,14.893103479408309,False
31,159,68.0,68.0,14.893103479408309,False
32,162,44.0,3.5,13.071491047030571,False
33,173,68.0,68.0,14.893103479408309,False
34,176,59.0,3.0,12.61106705464165,False
35,184,68.0,67.0,14.893103479408309,False
36,185,68.0,68.0,14.893103479408309,False
37,189,26.0,2.0,11.734467734917464,False
38,190,68.0,67.0,14.893103479408309,False
39,195,68.0,67.0,14.893103479408309,False
40,197,68.0,67.0,14.893103479408309,False
41,200,68.0,67.0,14.893103479408309,False
42,206,149.0,2.0,13.885782610949606,False
43,208,68.0,67.0,14.893103479408309,False
44,210,68.0,67.0,14.893103479408309,False
45,224,68.0,67.0,14.893103479408309,False
46,232,68.0,67.0,14.893103479408309,False
47,239,219.0,1.0,14.676373142928812,False
48,246,68.0,67.0,14.893103479408309,False
49,248,6.0,0.0,12.059890135352092,False
50,252,68.0,67.0,14.893103479408309,False
51,253,1.0,0.0,11.366742954792146,False
52,255,68.0,67.0,14.893103479408309,False
53,259,2.0,1.0,11.366742954792146,False
54,263,22.0,0.0,12.260560830814244,False
55,271,68.0,67.0,14.893103479408309,False
56,279,1.0,0.0,11.366742954792146,False
57,284,81.0,10.0,12.716669671741164,False
58,289,1.0,1.0,11.366742954792146,False
59,295,6.0,1.0,11.772208062900312,False
60,298,68.0,67.0,14.893103479408309,False
61,301,68.0,67.0,14.893103479408309,False
62,306,55.0,43.0,13.071491047030571,False
63,307,68.0,67.0,14.893103479408309,False
64,313,68.0,67.0,14.893103479408309,False
65,316,68.0,67.0,14.893103479408309,False
66,318,43.0,1.0,13.518505158051608,False
67,326,68.0,67.0,14.893103479408309,False
68,336,198.0,2.0,13.659277711932692,False
69,345,68.0,67.0,14.893103479408309,False
70,350,81.0,10.0,12.716669671741164,False
71,351,81.0,10.0,12.716669671741164,False
72,360,569.0,196.0,12.983235570206137,False
73,361,68.0,67.0,14.893103479408309,False
74,370,68.0,67.0,14.893103479408309,False
75,371,4.0,1.0,11.366742954792146,False
76,375,68.0,67.0,14.893103479408309,False
77,377,21.0,1.0,12.108680299521524,False
78,378,81.0,10.0,12.716669671741164,False
79,379,81.0,10.0,12.716669671741164,False
80,382,14.0,7.0,11.808575707071187,False
81,388,588.0,197.0,13.872268891782882,False
82,389,217.0,2.0,14.348745035534236,False
83,393,1.0,0.0,11.366742954792146,False
84,395,224.0,0.0,14.986629537419132,False
85,396,15.0,1.0,11.877568578558138,False
86,407,68.0,67.0,14.893103479408309,False
87,417,9.0,5.0,11.772208062900312,False
88,418,2.0,0.0,11.366742954792146,False
89,419,81.0,10.0,12.716669671741164,False
90,420,234.0,21.0,13.826331796595857,False
91,423,29.0,0.0,13.635426496110512,False
92,426,68.0,67.5,14.893103479408309,False
93,428,11.0,1.0,11.818728078535205,False
94,429,219.0,2.0,13.865442926712483,False
95,431,234.0,3.0,13.988850726093633,False
96,439,4.0,0.0,12.059890135352092,False
97,440,68.0,67.0,14.893103479408309,False
98,471,68.0,67.0,14.893103479408309,False
99,472,17.0,1.0,12.408196829620309,False
100,475,221.0,9.0,14.12584832669464,False
101,480,68.0,67.0,14.893103479408309,False
102,485,68.0,67.0,14.893103479408309,False
103,493,68.0,67.0,14.893103479408309,False
104,495,68.0,67.0,14.893103479408309,False
105,511,68.0,67.0,14.893103479408309,False
106,512,68.0,67.0,14.893103479408309,False
107,513,81.0,12.0,12.716669671741164,False
108,524,81.0,10.0,12.716669671741164,False
109,539,336.0,3.0,13.39966448083709,False
110,541,219.0,2.75,13.922601340552431,False
111,550,159.0,3.0,13.870697799550841,False
112,554,68.0,67.25,14.893103479408309,False
113,555,214.0,1.0,14.09366164019874,False
114,560,68.0,67.0,14.893103479408309,False
115,562,1.0,0.0,11.366742954792146,False
116,563,218.0,3.0,13.978649295341455,False
117,564,68.0,67.0,14.893103479408309,False
118,565,81.0,10.0,12.716669671741164,False
119,567,225.0,140.0,13.563967532128366,False
120,569,68.0,67.0,14.893103479408309,False
121,571,336.0,2.0,13.252028482031026,False
122,577,474.0,3.0,14.63757851859106,False
123,584,18.0,1.0,12.647676800254212,False
124,585,367.0,2.0,14.053228977978517,False
125,592,68.0,67.5,14.893103479408309,False
126,593,68.0,67.0,14.893103479408309,False
127,599,70.0,10.0,12.619505923287514,False
128,601,81.0,10.0,12.716669671741164,False
129,607,212.0,138.0,14.23842257967616,False
130,611,43.0,2.0,13.182032921430396,False
131,615,68.0,67.0,14.893103479408309,False
132,617,16.0,3.0,12.193421527976614,False
133,618,81.0,10.0,12.716669671741164,False
134,622,68.0,67.0,14.893103479408309,False
135,623,68.0,67.0,14.893103479408309,False
136,630,17.0,2.0,12.002731721512143,False
137,631,469.0,211.5,13.688704326749331,False
138,633,68.0,67.0,14.893103479408309,False
139,634,68.0,67.0,14.893103479408309,False
140,637,14.0,2.0,12.21404081517935,False
141,641,322.0,200.0,13.452415046222619,False
142,642,68.0,67.0,14.893103479408309,False
143,650,68.0,67.0,14.893103479408309,False
144,651,81.0,10.0,12.716669671741164,False
